X,Y,OBJECTID,NAME,ADDRESS,COMMUNITY,HES_EMS,STATION_NO,TYPE,LONGITUDE,LATITUDE
593286.223000000230968,4791290.416799999774,27,Ems Station 30,489 Victoria Avenue North,Hamilton,YES,30,Fire/EMS Stores,-79.85048498700186,43.26865303239518
604208.280899999663234,4779222.036399999633,28,Fire Station 14,585 Chapel Hill Road,Glanbrook,NO,14,Volunteer,-79.71820761568462,43.15857604669918
585002.192200000397861,4784327.7564,29,Fire Station 20,661 Garner Rd,Ancaster,YES,20,Career,-79.9536203440199,43.206946951793675
591991.426599999889731,4789992.3626,30,Fpb (Main Office),55 King William Street ,Hamilton,NO,,Fire Prevention Main Office ,-79.86665379641964,43.25712597622108
577839.2083,4805440.391799999401,1,Fire Station 28,1801 Brock Road,Freelton,NO,28,Volunteer,-80.03879396567116,43.39780379876312
570822.248200000263751,4794470.71299999952,2,Fire Station 27,795 Old Highway 8,Rockton,NO,27,Volunteer,-80.12685026426217,43.299733834183314
581603.397300000302494,4792609.286399999633,3,Fire Station 25,361 Old Brock Road,Greensville,YES,25,Volunteer,-79.99422717549659,43.281883184061044
569174.558199999853969,4787485.9755,4,Fire Station 26,119 Lynden Road,Lynden,YES,26,Volunteer,-80.14803960726988,43.23699883130726
588742.848600000143051,4798686.638399999589,5,Fire Station 24,256 Parkside Drive,Waterdown,YES,24,Composite,-79.90526597249709,43.33578984177393
584648.523400000296533,4790853.8219,6,Fire Station 23,"19 Sydenham Street, Memorial Square",Dundas,YES,23,Career,-79.95697156232434,43.26574231458779
591566.449599999934,4790741.468499999493,7,Fire Station 13,177 Bay Street North,Hamilton,NO,13,Mechanical Shop,-79.87176403233612,43.26392187361992
581056.46,4784457.9118,8,Fire Station 21,365 Wilson Street West,Ancaster,YES,21,Composite,-80.00216593154448,43.20855271030248
587383.279500000178814,4789950.7552,9,Fire Station 10,1455 Main Street West,Hamilton,YES,10,Career,-79.92342327083605,43.257299733747864
589194.2341,4787027.251199999824,10,Fire Station 3,965 Garth Street,Hamilton,YES,3,Career,-79.90158902480677,43.23076715491133
590831.446899999864399,4790216.920099999756,11,Fire Station 11,24 Ray Street,Hamilton,NO,11,Career,-79.88090517563,43.25928834384655
592029.9199,4789988.7915,12,Fire Station 1,35-43 John Street North,Hamilton,YES,1,Career,-79.86618024202954,43.25708912617981
593718.491299999878,4790254.200099999085,13,Fire Station 6,246 Wentworth Street North,Hamilton,NO,6,Career,-79.84533578889997,43.25927049124504
591002.419700000435114,4784794.476399999112,14,Fire Station 2,1400 Upper Wellington Street,Hamilton,NO,2,Career,-79.87969383230556,43.21044949225152
593391.81940000038594,4786390.81,15,Fire Station 4,729 Upper Sherman Avenue,Hamilton,YES,4,Career,-79.85001423245707,43.22452936526024
594654.446399999782443,4783498.1268,16,Fire Station 5,1227 Stone Church Road East,Hamilton,NO,5,Career,-79.8349658012201,43.19832952363894
594571.860500000417233,4783636.2705,17,Training Academy / Administration,1227 Stone Church Road East,Hamilton,NO,22,Training Academy / Administration,-79.83595844098394,43.19958356475469
596712.9676,4788618.3155,18,Fire Station 9,125 Kenilworth Avenue North,Hamilton,YES,9,Career,-79.80873698696206,43.24416472714233
599109.605000000447035,4788284.134199999273,19,Fire Station 8,400 Melvin Avenue,Hamilton,NO,8,Career,-79.77928294985733,43.24084501316424
588095.978699999861419,4778414.649399999529,20,Fire Station 19,3302 Homestead Road,Mount Hope,YES,19,Volunteer,-79.91648420142619,43.15335547076264
598365.722,4783096.950799999759,21,Fire Station 17,363 Isaac Brock Street,Stoney Creek,YES,17,Composite,-79.78936757118126,43.19424358851967
598753.105000000447035,4785493.227,22,Fire Station 7,225 Quigley Road,Hamilton,YES,7,Career,-79.7841725010393,43.21576608541664
602321.1557,4786363.9034,23,Fire Station 12,199 Highway 8,Stoney Creek,YES,12,Career,-79.74009223428324,43.22312915688172
604223.6848,4787148.6268,24,Fire Station 15,415 Arvin Avenue,Stoney Creek,YES,15,Volunteer,-79.7165233637066,43.22993323563134
607576.479799999855459,4785779.838099999353,25,Fire Station 16,939 Barton Street,Winona,NO,16,Volunteer,-79.67551240127632,43.21714032547456
597209.557300000451505,4775023.253299999982,26,Fire Station 18,2636 Regional Rd 56,Binbrook,YES,18,Volunteer,-79.80501144947225,43.12170676180546
